Country Code,TableName,Region,IncomeGroup
BLR,Belarus,Europe & Central Asia,Upper middle income
MRT,Mauritania,Sub-Saharan Africa,Lower middle income
STP,São Tomé and Principe,Sub-Saharan Africa,Lower middle income
